id,title,year,source,doi,db,se_area,se_task,cv_technique,platform,rationale,artifact_type,eval_method,challenges,reason
1056,Artificial intelligence in automated system for web-interfaces visual testing,2020,CEUR Workshop Proceedings,,Scopus,Testing,Visual GUI testing,Deep Learning / Neural Network,Web,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Dynamic web content and cross-browser rendering differences,AI-based visual testing of web interfaces
957,Automated mobile apps testing from visual perspective,2020,ISSTA 2020 - Proceedings of the 29th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3395363.3402644,Scopus,Testing,Automated mobile app testing,Template Matching / Feature Matching; Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Visual testing of mobile apps (ISSTA)
1032,CSEFuzz: Fuzz testing based on symbolic execution,2020,IEEE Access,10.1109/ACCESS.2020.3030798,Scopus,Testing,Fuzz testing,Other: Symbolic execution + screenshot,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Sketch-to-code via CV for UI prototyping
1496,Design of an Automatic Testing System for Camera UI Test,2020,2020 39th Chinese Control Conference (CCC),10.23919/CCC50068.2020.9189199,IEEE Xplore,Testing,Camera UI test automation,Image Differencing; OCR,General,Context-driven,Full-interface,Accuracy metrics,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives; Low accuracy on stylized fonts, icons with embedded text",Camera UI test automation system
715,Eye of the Mind: Image Processing for Social Coding,2020,"Proceedings - 2020 ACM/IEEE 42nd International Conference on Software Engineering: New Ideas and Emerging Results, ICSE-NIER 2020",10.1145/3377816.3381723,Scopus,Maintenance,Image-based social coding analysis,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Image processing for social coding (ICSE-NIER)
1010,HTML Atomic UI Elements Extraction from Hand-Drawn Website Images using Mask-RCNN and novel Multi-Pass Inference Technique,2020,CEUR Workshop Proceedings,,Scopus,Development,UI element extraction from sketches,Deep Learning / Neural Network,Web,Context-driven,Natural input; Full-interface,Accuracy metrics,Dynamic web content and cross-browser rendering differences,HTML UI extraction from hand-drawn images using Mask-RCNN
2754,Integrating Traversal and Visual-based Techniques to Initiate UI Exploration Scripting,2020,Proceedings of the 2020 the 3rd International Conference on Computers in Management and Business,10.1145/3383845.3383890,ACM DL,Testing,GUI exploration scripting,Image Differencing; Template Matching / Feature Matching,General,Context-driven,Full-interface,Accuracy metrics,"Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets; Distinguishing meaningful visual changes from cosmetic ones",Visual+traversal UI exploration scripting
532,Interpreting cloud computer vision pain-points: A mining study of stack overflow,2020,Proceedings - International Conference on Software Engineering,10.1145/3377811.3380404,Scopus,Maintenance,Mining CV pain-points from Stack Overflow,Other: Mining / NLP,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Mining Stack Overflow for cloud CV pain-points (ICSE)
1717,Near-Duplicate Detection in Web App Model Inference,2020,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),,IEEE Xplore,Maintenance,Near-duplicate detection in web app models,Image Differencing; Probability Distribution Distance,Mobile; Web,Context-driven,Full-interface,Accuracy metrics,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives; Distinguishing near-duplicate from genuinely different reports",Near-duplicate detection in web app model inference (ICSE)
772,Object detection for graphical user interface: Old fashioned or deep learning or a combination?,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3409691,Scopus,Testing,GUI object detection,Deep Learning / Neural Network; Color / Spatial Transformation,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Object detection for GUI: old fashioned vs deep learning (FSE)
766,RoScript: A visual script driven truly non-intrusive robotic testing system for touch screen applications,2020,Proceedings - International Conference on Software Engineering,10.1145/3377811.3380431,Scopus,Testing,Robotic GUI testing,Deep Learning / Neural Network; Template Matching / Feature Matching,General,Context-driven; Ease of use,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",RoScript: visual script robotic testing for touchscreen apps (ICSE)
744,STIFA: Crowdsourced Mobile Testing Report Selection Based on Text and Image Fusion Analysis,2020,"Proceedings - 2020 35th IEEE/ACM International Conference on Automated Software Engineering, ASE 2020",10.1145/3324884.3415300,Scopus,Testing,Crowdsourced test report prioritization,Deep Learning / Neural Network,Mobile,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data; Device and OS fragmentation,STIFA: crowdsourced mobile testing with image+text fusion (ASE)
589,Seenomaly: Vision-based linting of gui animation effects against design-don't guidelines,2020,Proceedings - International Conference on Software Engineering,10.1145/3377811.3380411,Scopus,Testing,GUI animation linting,Deep Learning / Neural Network,General,Context-driven,Temporal,Accuracy metrics,Subjectivity in design quality assessment,Seenomaly: vision-based linting of GUI animation effects (ICSE)
823,Towards learning visual semantics,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3417040,Scopus,Design,Visual semantic learning for UI,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Towards learning visual semantics for SE (FSE)
2690,Translating video recordings of mobile app usages into replayable scenarios,2020,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering,10.1145/3377811.3380328,ACM DL,Testing,Video-to-replayable-scenario conversion,Deep Learning / Neural Network; Other: Video analysis,Mobile,Context-driven,Temporal,Accuracy metrics,Fragility to GUI evolution and app updates; Computational cost of video processing at scale; Synchronization of visual and interaction event streams,Translating video of mobile app usages to replayable scenarios (ICSE)
825,UIED: A hybrid tool for GUI element detection,2020,ESEC/FSE 2020 - Proceedings of the 28th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3368089.3417940,Scopus,Testing,GUI element detection,Deep Learning / Neural Network; Color / Spatial Transformation,General,Context-driven,Localized,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,UIED: hybrid tool for GUI element detection (FSE)
773,Visual Sketching: From Image Sketches to Code,2020,"Proceedings - 2020 ACM/IEEE 42nd International Conference on Software Engineering: New Ideas and Emerging Results, ICSE-NIER 2020",10.1145/3377816.3381745,Scopus,Development,Sketch-to-code generation,Deep Learning / Neural Network; Color / Spatial Transformation,General,Context-driven,Natural input,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,Visual Sketching: image sketches to code (ICSE-NIER)
636,Wireframe-based UI Design Search through Image Autoencoder,2020,ACM Transactions on Software Engineering and Methodology,10.1145/3391613,Scopus,Design,Wireframe-based UI design search,Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Handling complex layout hierarchies and custom widgets; Generated code quality and maintainability,Wireframe-based UI design search through image autoencoder (TOSEM)
582,A Novel approach of GUI Mapping with image based widget detection and classification,2021,"Proceedings of 2021 2nd International Conference on Intelligent Engineering and Management, ICIEM 2021",10.1109/ICIEM51511.2021.9445281,Scopus,Testing,GUI element detection and mapping,Deep Learning / Neural Network,General,Context-driven,Localized; Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,GUI mapping with image-based widget detection
797,A framework for the automation of testing computer vision systems,2021,"Proceedings - 2021 IEEE/ACM International Conference on Automation of Software Test, AST 2021",10.1109/AST52587.2021.00023,Scopus,Testing,Testing of CV systems,Other: Metamorphic testing,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Framework for automation of testing CV systems (AST)
2712,A replication package for it takes two to tango: combining visual and textual information for detecting duplicate video-based bug reports,2021,Proceedings of the 43rd International Conference on Software Engineering: Companion Proceedings,10.1109/icse-companion52605.2021.00067,ACM DL,Testing,Duplicate video bug report detection,Deep Learning / Neural Network; Other: Text+image fusion,General,Context-driven,Temporal,Accuracy metrics,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state; Distinguishing near-duplicate from genuinely different reports,Visual+textual duplicate video bug reports (ICSE companion)
935,Automated game testing using computer vision methods,2021,"Proceedings - 2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops, ASEW 2021",10.1109/ASEW52652.2021.00024,Scopus,Testing,Automated game testing,Deep Learning / Neural Network; Template Matching / Feature Matching,Game,Context-driven,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",Automated game testing using CV methods (ASE workshop)
1205,Classification of UML Diagrams to Support Software Engineering Education,2021,2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW),10.1109/ASEW52652.2021.00030,IEEE Xplore,Requirements,UML diagram classification,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Scalability to large and diverse application corpora; Limited ground truth data for evaluation,Classification of UML diagrams to support SE education (ASE workshop)
2794,GLIB: towards automated test oracle for graphically-rich applications,2021,Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,10.1145/3468264.3468586,ACM DL,Testing,Test oracle generation for graphical apps,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,GLIB: automated test oracle for graphically-rich apps (FSE)
2678,GUIDER: GUI structure and vision co-guided test script repair for Android apps,2021,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3460319.3464830,ACM DL,Testing,Test script repair,Deep Learning / Neural Network; Template Matching / Feature Matching,Mobile,Context-driven; Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Sensitivity to resolution, scale, and visual changes; High false positive rate with similar-looking widgets",GUIDER: GUI vision+structure co-guided test script repair (ISSTA)
611,Image-based Bug Oracle Automation for Bug Report Reproduction Using Wt Detection,2021,"2021 IEEE International Conference on Software Engineering and Artificial Intelligence, SEAI 2021",10.1109/SEAI52285.2021.9477528,Scopus,Testing,Bug oracle for bug report reproduction,Deep Learning / Neural Network; Image Differencing,General,Context-driven,Full-interface,Industrial evaluation,"Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives; Ambiguous or incomplete visual context in bug recordings",Image-based bug oracle for bug report reproduction
2748,It Takes Two to Tango: Combining Visual and Textual Information for Detecting Duplicate Video-Based Bug Reports,2021,Proceedings of the 43rd International Conference on Software Engineering,10.1109/icse43902.2021.00091,ACM DL,Testing,Duplicate video bug report detection,Deep Learning / Neural Network; Other: Text+image fusion,General,Context-driven,Temporal,Accuracy metrics,Ambiguous or incomplete visual context in bug recordings; Mapping recorded actions to current GUI state; Distinguishing near-duplicate from genuinely different reports,It Takes Two to Tango: visual+textual duplicate video bug reports (ICSE)
1779,Layout and Image Recognition Driving Cross-Platform Automated Mobile Testing,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),10.1109/ICSE43902.2021.00139,IEEE Xplore,Testing,Cross-platform mobile testing,Deep Learning / Neural Network; OCR,Mobile,Context-driven; Ease of use,Full-interface,Accuracy metrics,"Requires large labeled training data; Generalization across platforms and screen resolutions; Low accuracy on stylized fonts, icons with embedded text",Layout+image recognition for cross-platform mobile testing (ICSE)
1760,Prioritize Crowdsourced Test Reports via Deep Screenshot Understanding,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),10.1109/ICSE43902.2021.00090,IEEE Xplore,Testing,Crowdsourced test report prioritization,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Prioritize crowdsourced test reports via screenshot understanding (ICSE)
785,Robust UI Automation Using Deep Learning and Optical Character Recognition (OCR),2021,Advances in Intelligent Systems and Computing,10.1007/978-981-15-7234-0_4,Scopus,Testing,UI test automation,Deep Learning / Neural Network; OCR,General,Robustness,Full-interface,Accuracy metrics,"Requires large labeled training data; Low accuracy on stylized fonts, icons with embedded text; Language and locale variability",Robust UI automation using deep learning and OCR
2759,Semantic matching of GUI events for test reuse: are we there yet?,2021,Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3460319.3464827,ACM DL,Testing,GUI event matching for test reuse,Deep Learning / Neural Network; Representation Learning / Embedding,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Semantic matching of GUI events for test reuse (ISSTA)
874,Test automation with grad-CAM Heatmaps - A future pipe segment in MLOps for Vision AI?,2021,"Proceedings - 2021 IEEE 14th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2021",10.1109/ICSTW52544.2021.00039,Scopus,Testing,Test automation with Grad-CAM heatmaps,Deep Learning / Neural Network,General,Context-driven,Full-interface,Accuracy metrics,Requires large labeled training data,Test automation with Grad-CAM heatmaps for Vision AI (ICST)
567,Web Components Template Generation from Web Screenshot,2021,ACM International Conference Proceeding Series,10.1145/3468784.3468787,Scopus,Development,Web component generation from screenshot,Deep Learning / Neural Network; OCR,Web,Context-driven,Full-interface,Accuracy metrics,"Low accuracy on stylized fonts, icons with embedded text; Language and locale variability; Dynamic web content and cross-browser rendering differences",Web components template generation from web screenshot
1248,WebEvo: Taming Web Application Evolution via Semantic Structure Change Detection,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),10.1109/ICSE-Companion52605.2021.00060,IEEE Xplore,Maintenance,Web app evolution detection,Image Differencing; Deep Learning / Neural Network,Web,Robustness,Full-interface,Accuracy metrics,"Fragility to GUI evolution and app updates; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",WebEvo: semantic structure change detection for web app evolution
543,WebEvo: Taming web application evolution via detecting semantic structure changes,2021,ISSTA 2021 - Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis,10.1145/3460319.3464800,Scopus,Maintenance,Web app evolution detection,Image Differencing; Deep Learning / Neural Network,Web,Robustness,Full-interface,Accuracy metrics,"Fragility to GUI evolution and app updates; Distinguishing meaningful visual changes from cosmetic ones; Dynamic content (ads, animations) causes false positives",WebEvo: taming web app evolution via semantic structure changes (ISSTA)
